66;0;WeakScout;Scout;6;150
67;0;WeakSoldier;Soldier;6;200
68;2;WeakMedic;Medic;7;300
69;0;WeakHeavy;Heavy;7;350
70;4;WeakDemoman;Demoman;8;400
71;0;WeakPyro;Pyro;6;450
72;32;WeakScout;Scout;7;500
73;12;WeakSniper;Sniper;3;600
74;16;WeakSpy;Spy;4;675
75;1;TheDoctor;Medic;1;6000
76;0;LameScout;Scout;5;800
77;0;LameSoldier;Soldier;5;850
78;16;LameSpy;Spy;4;800
79;0;LameHeavy;Heavy;6;950
80;32;LamePyro;Pyro;6;950
81;2;LameMedic;Medic;4;1000
82;8;LameDemoman;Demoman;4;1100
83;0;LameSniper;Sniper;7;1450
84;4;LameScout;Scout;5;1500
85;1;TheSharpshooter;Sniper;1;16000
86;0;BadSoldier;Soldier;6;1500
87;0;BadSpy;Spy;7;1550
88;8;BadDemoman;Demoman;4;1250
89;0;BadHeavy;Heavy;6;1750
90;4;BadMedic;Medic;4;1700
91;0;BadEngineer;Engineer;8;1900
92;34;BadScout;Scout;4;1750
93;0;BadDemoman;Demoman;6;2000
94;32;BadMedic;Medic;5;2000
95;1;TheEngineer;Engineer;1;28000
96;0;AverageSoldier;Soldier;8;2300
97;44;AverageSpy;Spy;4;2200
98;0;AverageDemoman;Demoman;5;3000
99;0;AverageHeavy;Heavy;6;3400
100;12;AverageMedic;Medic;4;2900
101;0;AverageEngineer;Engineer;6;3800
102;32;AverageScout;Scout;8;3800
103;32;AveragePyro;Pyro;7;4000
104;0;AverageMedic;Medic;7;4500
105;1;TheSpy;Spy;1;40000
106;34;GoodScout;Scout;4;4500
107;16;GoodSpy;Spy;6;4500
108;0;GoodDemoman;Demoman;8;5250
109;0;GoodEngineer;Engineer;7;5500
110;0;GoodMedic;Medic;5;5750
111;36;GoodPyro;Pyro;6;5500
112;32;GoodSoldier;Soldier;5;6000
113;4;GoodMedic;Medic;7;6250
114;0;GoodSpy;Spy;6;7000
115;1;TheNoob;Scout;1;60000
116;8;PremiumScout;Scout;6;5800
117;12;PremiumSpy;Spy;7;6000
118;0;PremiumDemoman;Demoman;7;8000
119;2;PremiumEngineer;Engineer;7;7250
120;40;PremiumMedic;Medic;4;7000
121;0;PremiumPyro;Pyro;5;9000
122;0;PremiumSoldier;Soldier;5;9250
123;34;PremiumMedic;Medic;6;8500
124;0;PremiumSpy;Spy;4;10000
125;33;TheBeast;Soldier;1;100000
126;6;OverpoweredScout;Scout;5;10000
127;36;OverpoweredMedic;Medic;5;11000
128;10;floube;Engineer;6;10000
129;8;mani;Soldier;7;10000
130;37;benedevil;Heavy;1;150000
